Training with hyperparameters: p_pddm=3.2e+02, r_mid_point_mini=1e+03
Training data: /Users/zhizhonglin/Desktop/causal_inference/deepLearning/WTEDVAE/ACIC/ACIC_1_10_setting_6_train.npz
Test data:     /Users/zhizhonglin/Desktop/causal_inference/deepLearning/WTEDVAE/ACIC/ACIC_1_10_setting_6_test.npz
Loaded data with shape [3601,82]
Defining graph...

Training on experiment 1/10...
1800	Obj: 2930.156,	F: 4.782,	Cf: 5.496,	PDDM: 9.2,	mid_p: 0.00079,	Val: 4.836,	ValObj: 3243.56
1900	Obj: 5149.818,	F: 4.773,	Cf: 5.997,	PDDM: 16,	mid_p: 0.00079,	Val: 4.821,	ValObj: 5823.72
1999	Obj: 7332.396,	F: 4.650,	Cf: 5.805,	PDDM: 23,	mid_p: 0.00078,	Val: 4.683,	ValObj: 8050.25
Saving result to results/ihdpresults_20211208_152220-189109/...

Training on experiment 8/10...
0	Obj: 75562.359,	F: 5.735,	Cf: 5.760,	PDDM: 2.4e+02,	mid_p: 0.0022,	Val: 5.239,	ValObj: 51134.98
100	Obj: 9988.028,	F: 5.267,	Cf: 5.322,	PDDM: 31,	mid_p: 0.016,	Val: 4.737,	ValObj: 6880.47
200	Obj: 6188.765,	F: 5.265,	Cf: 5.252,	PDDM: 19,	mid_p: 0.0052,	Val: 4.742,	ValObj: 8479.21
300	Obj: 10903.232,	F: 5.279,	Cf: 5.211,	PDDM: 34,	mid_p: 0.0072,	Val: 4.767,	ValObj: 2850.36
400	Obj: 7346.476,	F: 5.316,	Cf: 5.199,	PDDM: 23,	mid_p: 0.0048,	Val: 4.817,	ValObj: 6391.99
500	Obj: 4154.891,	F: 5.258,	Cf: 5.335,	PDDM: 13,	mid_p: 0.0034,	Val: 4.739,	ValObj: 8815.50
600	Obj: 3260.133,	F: 5.201,	Cf: 5.292,	PDDM: 10,	mid_p: 0.0033,	Val: 4.663,	ValObj: 9426.66
700	Obj: 4615.448,	F: 5.198,	Cf: 5.504,	PDDM: 15,	mid_p: 0.0032,	Val: 4.672,	ValObj: 8210.89
800	Obj: 6941.852,	F: 5.326,	Cf: 5.419,	PDDM: 22,	mid_p: 0.0031,	Val: 4.755,	ValObj: 5540.80
900	Obj: 3700.532,	F: 5.183,	Cf: 5.146,	PDDM: 12,	mid_p: 0.0029,	Val: 4.695,	ValObj: 9533.39
1000	Obj: 7958.599,	F: 5.325,	Cf: 5.641,	PDDM: 25,	mid_p: 0.0028,	Val: 4.765,	ValObj: 4182.12
1100	Obj: 5273.568,	F: 5.147,	Cf: 5.242,	PDDM: 17,	mid_p: 0.0027,	Val: 4.635,	ValObj: 6945.50
1200	Obj: 6748.604,	F: 5.147,	Cf: 5.299,	PDDM: 21,	mid_p: 0.0026,	Val: 4.649,	ValObj: 6182.31
1300	Obj: 3285.455,	F: 5.151,	Cf: 5.158,	PDDM: 10,	mid_p: 0.0026,	Val: 4.669,	ValObj: 8830.67
1400	Obj: 6241.691,	F: 5.141,	Cf: 5.180,	PDDM: 20,	mid_p: 0.0025,	Val: 4.630,	ValObj: 7125.62
1500	Obj: 5634.768,	F: 5.153,	Cf: 5.138,	PDDM: 18,	mid_p: 0.0023,	Val: 4.641,	ValObj: 6640.86
1600	Obj: 8366.582,	F: 5.123,	Cf: 5.153,	PDDM: 26,	mid_p: 0.0023,	Val: 4.618,	ValObj: 5358.02
1700	Obj: 6405.736,	F: 5.121,	Cf: 5.178,	PDDM: 20,	mid_p: 0.0022,	Val: 4.629,	ValObj: 5802.20
1800	Obj: 7343.338,	F: 5.265,	Cf: 5.335,	PDDM: 23,	mid_p: 0.0002,	Val: 4.739,	ValObj: 5993.25
1900	Obj: 4468.705,	F: 5.264,	Cf: 5.345,	PDDM: 14,	mid_p: 0.0002,	Val: 4.734,	ValObj: 6921.67
1999	Obj: 5915.941,	F: 5.263,	Cf: 5.287,	PDDM: 19,	mid_p: 0.0002,	Val: 4.749,	ValObj: 8126.12
Saving result to results/ihdpresults_20211208_152220-189109/...

Training on experiment 9/10...
0	Obj: 75955.922,	F: 7.198,	Cf: 9.142,	PDDM: 2.4e+02,	mid_p: 0.018,	Val: 6.888,	ValObj: 73804.13
100	Obj: 6687.488,	F: 4.958,	Cf: 5.296,	PDDM: 21,	mid_p: 0.00012,	Val: 4.746,	ValObj: 7037.12
200	Obj: 4276.208,	F: 4.959,	Cf: 5.265,	PDDM: 13,	mid_p: 0.00011,	Val: 4.746,	ValObj: 4198.00
300	Obj: 5531.822,	F: 4.959,	Cf: 5.257,	PDDM: 17,	mid_p: 9.8e-05,	Val: 4.746,	ValObj: 5727.95
